atco_area_code,atco_area_id,atco_outarea,stop_no,naptan_stop_no,maximo_stop_no,sms_stop_no,rt_stop_no,cluster_no,road_name,street_name,stop_name,stop_identifier,jp_stop_name,rt_stop_name,start_date,end_date,stop_aka,mode,stop_type,naptan_stop_type,naptan_stop_sub_type,both_dir,schools_only,alighting_only,status,naptan_record_status,landmark,side_road,suburb,town,county,ward,district,northing,easting,latitude,longitude,local_area,direction,national_gazetteer_id,national_gazetteer_locality,locality_centre_indicator,naptan_bus_registration_status,seating_type,site_illuminated,shelter_type,Shelter,shelt_end_date,additional_flag_text,tt_boards_req,no_panels_total,no_panels_tt,service_plate,service_plate_text,platform,stand,flag_mount,tt_board_type,created_on,parliamentary_constituency,Boardings Per Month,Boardings Per Hour,Stop Calls Per Month,Stop Calls Per Hour,Board Type,Interchange,Boarding Band,Stop Calls Per Month Band,Stop Calls Per Hour Band,Damaged,Views,Users,Views per User,Realtime_Helper,Realtime?,Shelter?,Virtual?,Poster?
370,99 ,0,0055307 ,370055307,55307,,37055307,09124,Barnsley Road,Barnsley Road,Barnsley Road/Barnwell Crescent,nr,Barnwell Crescent,Barnwell Crescent,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Barnsley Road/Barnwell Crescent,B,P,BCT,MKD,N,N,N,L,ACT,Opposite 44,Barnwell Crescent,Wombwell,Barnsley,South Yorkshire,Stairfoot Ward,Barnsley District,404013,439085,53.531328510,-1.411821484,Wombwell,NW,E0030701,Wombwell,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,NULL,NULL,NONE,HOR2,1993-06-07 00:00:00.000,Barnsley East,0,0,2686.666667,7.380952381,Horizon 2 Panel Carousel,No,0,2000-2999,3-10,0,42,14,3,370055307,1,1,0,None
370,99 ,0,0055348 ,370055348,55348,,37055348,09124,Barnsley Road,Barnsley Road,Barnsley Road/Barnwell Crescent,opp,Barnwell Crescent,Barnwell Crescent,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Barnsley Road/Barnwell Crescent,B,P,BCT,MKD,N,N,N,L,ACT,Opp Barnwell Crescent,Barnwell Crescent,Wombwell,Barnsley,South Yorkshire,Stairfoot Ward,Barnsley District,404082,439052,53.531951120,-1.412310721,Wombwell,SE,E0030701,Wombwell,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,NULL,NULL,NONE,HOR2,1993-06-07 00:00:00.000,Barnsley East,0,0,2899,7.964285714,Horizon 2 Panel Carousel,No,0,2000-2999,3-10,0,0,0,No Data,370055348,1,1,0,None
370,99 ,0,0050435 ,370050435,50435,,37050435,08370,Barnsley Road,Barnsley Road,Barnsley Road/Bence Lane,adj,Bence Lane,Bence Lane,1993-06-06 00:00:00.000,2099-01-01 00:00:00.000,Barnsley Road/Bence Lane,B,P,BCT,MKD,N,N,N,L,ACT,Outside 146a,Bence Lane,Darton,Barnsley,South Yorkshire,Darton West Ward,Barnsley District,409285,431273,53.579234674,-1.529145408,Darton,N ,E0030118,Darton,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,  ,  ,TCAP,TF2R,1993-06-06 00:00:00.000,Barnsley Central,0,0,1737.666667,4.773809524,Trueform 2 Panel Rotating,No,0,1000-1999,3-10,1,18,3,6,370050435,1,1,0,None
370,99 ,0,0050265 ,370050265,50265,,37050265,09196,Barnsley Road,Barnsley Road,Barnsley Road/Billingley Green Lane,adj,Billingley Green Lane,Billingley Green Ln,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Barnsley Road/Billingley Green Lane,B,P,BCT,MKD,N,N,N,L,ACT,Opp Cottages,Billingley Green Lane,Billingley,Barnsley,South Yorkshire,Darfield Ward,Barnsley District,404129,444007,53.531982984,-1.337555502,Billingley,E ,E0052700,Billingley,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,  ,  ,TCAP,TF2R,1993-06-07 00:00:00.000,Barnsley East,0,0,1274,3.5,Trueform 2 Panel Rotating,No,0,1000-1999,3-10,0,3,3,1,No,0,1,0,None
370,99 ,0,0056171 ,370056171,56171,,37056171,10956,Pogmoor Road,Pogmoor Road,Pogmoor Road/West Moor Crescent,56171,West Moor Crescent,West Moor Crescent,2021-12-22 00:00:00.000,2099-01-01 00:00:00.000,Pogmoor Road/West Moor Crescent,B,P,BCT,MKD,N,N,N,L,ACT,,West Moor Crescent,Pogmoor,Barnsley,South Yorkshire,Dodworth Ward,Barnsley District,406408,432573,53.553297432,-1.509810763,Pogmoor,S,E0030472,Pogmoor,N,PPT,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,0 ,N,,,  ,NONE,HOR2,2021-12-22 00:00:00.000,Penistone and Stocksbridge,0,0,650,1.785714286,Horizon 2 Panel Carousel,No,0,600-699,0.1-3,0,0,0,No Data,No,0,1,0,None
370,99 ,0,0056170 ,370056170,56170,,37056170,10956,Pogmoor Road,Pogmoor Road,Pogmoor Road/West Moor Crescent,56170,West Moor Crescent,West Moor Crescent,2021-12-22 00:00:00.000,2099-01-01 00:00:00.000,Pogmoor Road/West Moor Crescent,B,P,BCT,MKD,N,N,N,L,ACT,,West Moor Crescent,Pogmoor,Barnsley,South Yorkshire,Dodworth Ward,Barnsley District,406415,432559,53.553361213,-1.510021346,Pogmoor,N,E0030472,Pogmoor,N,PPT,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,0 ,N,,,  ,NONE,HOR2,2021-12-22 00:00:00.000,Penistone and Stocksbridge,0,0,537.3333333,1.476190476,Horizon 2 Panel Carousel,No,0,500-599,0.1-3,0,32,16,2,No,0,1,0,None
370,99 ,0,0050876 ,370050876,50876,,37050876,09791,Barnsley Road,Barnsley Road,Barnsley Road/High Street,adj,High Street,High Street,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Barnsley Road/High Street,B,P,BCT,MKD,N,N,N,L,ACT,Opposite 56,High Street,Goldthorpe,Barnsley,South Yorkshire,Dearne North Ward,Barnsley District,404329,446075,53.533603698,-1.306329559,Goldthorpe,W,E0030186,Goldthorpe,Y,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,R,2,2 ,N,,,  ,STSB,HOR2,1993-06-07 00:00:00.000,Wentworth and Dearne,0,0,2439.666667,6.702380952,Horizon 2 Panel Carousel,No,0,2000-2999,3-10,1,73,19,3.842105263,No,0,1,0,None
370,99 ,0,0055353 ,370055353,55353,,37055353,08638,Pogmoor Road,Pogmoor Road,Pogmoor Road/Farm House Lane,adj,Farm House Lane,Farm House Lane,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Pogmoor Road/Farm House Lane,B,P,BCT,MKD,N,N,N,L,ACT,Bus Layby,Farm House Lane,Pogmoor,Barnsley,South Yorkshire,Dodworth Ward,Barnsley District,406547,432542,53.554548679,-1.510264244,Pogmoor,N ,E0030472,Pogmoor,N,   ,BSL,N,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,NULL,NULL,STSB,TF2R,1993-06-07 00:00:00.000,Penistone and Stocksbridge,0,0,537.3333333,1.476190476,Trueform 2 Panel Rotating,No,0,500-599,0.1-3,0,3,2,1.5,No,0,1,0,None
370,99 ,0,0050001 ,370050001,50001,,37050001,09140,Park Street,Park Street,Park Street/Reginald Road,opp,Reginald Road,Park St/Reginald Rd,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Park Street/Reginald Road,B,P,BCT,MKD,N,N,N,L,ACT,Opposite 104,Reginald Road,Wombwell,Barnsley,South Yorkshire,Wombwell Ward,Barnsley District,402561,440564,53.518166365,-1.389697721,Wombwell,SE,E0030701,Wombwell,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,2 ,N,,NULL,NULL,STSB,HOR2,1993-06-07 00:00:00.000,Barnsley East,0,0,2569.666667,7.05952381,Horizon 2 Panel Carousel,No,0,2000-2999,3-10,1,4,2,2,No,0,1,0,None
370,99 ,0,0050000 ,370050000,50000,,37050000,09140,Park Street,Park Street,Park Street/Lundhill Road,adj,Lundhill Road,Park St/Lundhill Rd,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Park Street/Lundhill Road,B,P,BCT,MKD,N,N,N,L,ACT,Outside 116,Lundhill Road,Wombwell,Barnsley,South Yorkshire,Wombwell Ward,Barnsley District,402519,440599,53.517786180,-1.389175324,Wombwell,NW,E0030701,Wombwell,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,R,2,1 ,N,,,  ,STSB,HOR2,1993-06-07 00:00:00.000,Barnsley East,0,0,2604.333333,7.154761905,Horizon 2 Panel Carousel,No,0,2000-2999,3-10,1,3,3,1,No,0,1,0,None
